,dates,Ancestor's Chosen,Angel of Mercy,Aven Cloudchaser,Ballista Squad,Bandage,Beacon of Immortality,Benalish Knight,Condemn,Contaminated Bond,Demystify
2017-06-05,2017-06-05,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-06,2017-06-06,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-07,2017-06-07,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-08,2017-06-08,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-09,2017-06-09,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-10,2017-06-10,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-11,2017-06-11,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-12,2017-06-12,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-13,2017-06-13,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-14,2017-06-14,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-15,2017-06-15,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-16,2017-06-16,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-17,2017-06-17,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-18,2017-06-18,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-19,2017-06-19,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-20,2017-06-20,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-21,2017-06-21,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-22,2017-06-22,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-23,2017-06-23,," 0.67
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-24,2017-06-24,," 0.67
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-25,2017-06-25,," 0.67
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-26,2017-06-26,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-27,2017-06-27,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-28,2017-06-28,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-29,2017-06-29,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-06-30,2017-06-30,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-01,2017-07-01,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-02,2017-07-02,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-03,2017-07-03,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-04,2017-07-04,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-05,2017-07-05,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-06,2017-07-06,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-07,2017-07-07,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-08,2017-07-08,," 0.68
"," 0.17
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-09,2017-07-09,," 0.69
"," 0.16
"," 0.19
"," 0.01
",," 0.16
",," 0.15
",
2017-07-10,2017-07-10,," 0.69
"," 0.16
"," 0.19
"," 0.01
",," 0.16
",," 0.15
",
2017-07-11,2017-07-11,," 0.68
"," 0.16
"," 0.19
"," 0.01
",," 0.16
",," 0.15
",
2017-07-12,2017-07-12,," 0.68
"," 0.16
"," 0.19
"," 0.01
",," 0.16
",," 0.15
",
2017-07-13,2017-07-13,," 0.68
"," 0.16
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-14,2017-07-14,," 0.68
"," 0.16
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-15,2017-07-15,," 0.69
"," 0.16
"," 0.19
"," 0.01
",," 0.17
",," 0.15
",
2017-07-16,2017-07-16,," 0.69
"," 0.16
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-17,2017-07-17,," 0.68
"," 0.17
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-18,2017-07-18,," 0.69
"," 0.16
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-19,2017-07-19,," 0.69
"," 0.16
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-20,2017-07-20,," 0.69
"," 0.16
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-21,2017-07-21,," 0.69
"," 0.16
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-22,2017-07-22,," 0.69
"," 0.17
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-23,2017-07-23,," 0.69
"," 0.17
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-24,2017-07-24,," 0.69
"," 0.17
"," 0.19
"," 0.04
",," 0.17
",," 0.15
",
2017-07-25,2017-07-25,," 0.62
"," 0.1
"," 0.16
"," 0.04
",," 0.11
",," 0.1
",
2017-07-26,2017-07-26,," 0.69
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-07-27,2017-07-27,," 0.69
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-07-28,2017-07-28,," 0.74
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-07-29,2017-07-29,," 0.74
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-07-30,2017-07-30,," 0.74
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-07-31,2017-07-31,," 0.74
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-01,2017-08-01,," 0.71
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-02,2017-08-02,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.16
",
2017-08-03,2017-08-03,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-04,2017-08-04,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-05,2017-08-05,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-06,2017-08-06,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-07,2017-08-07,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.16
",
2017-08-08,2017-08-08,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-09,2017-08-09,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-10,2017-08-10,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-11,2017-08-11,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-12,2017-08-12,," 0.68
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-13,2017-08-13,," 0.67
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-14,2017-08-14,," 0.66
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-15,2017-08-15,," 0.66
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-16,2017-08-16,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-17,2017-08-17,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-18,2017-08-18,," 0.66
"," 0.17
"," 0.2
"," 0.04
",," 0.17
",," 0.15
",
2017-08-19,2017-08-19,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-20,2017-08-20,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-21,2017-08-21,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-22,2017-08-22,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-23,2017-08-23,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-24,2017-08-24,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-25,2017-08-25,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-26,2017-08-26,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-27,2017-08-27,," 0.67
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-28,2017-08-28,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-29,2017-08-29,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-30,2017-08-30,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-08-31,2017-08-31,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-01,2017-09-01,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-02,2017-09-02,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-03,2017-09-03,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-04,2017-09-04,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-05,2017-09-05,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-06,2017-09-06,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-07,2017-09-07,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-08,2017-09-08,," 0.66
"," 0.17
"," 0.21
"," 0.04
",," 0.17
",," 0.15
",
2017-09-09,2017-09-09,," 0.68
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-10,2017-09-10,," 0.68
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-11,2017-09-11,," 0.66
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-12,2017-09-12,," 0.68
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-13,2017-09-13,," 0.68
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-14,2017-09-14,," 0.68
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-15,2017-09-15,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
",
2017-09-16,2017-09-16,," 0.66
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.5
"
2017-09-17,2017-09-17,," 0.66
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.5
"
2017-09-18,2017-09-18,," 0.66
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.4
"
2017-09-19,2017-09-19,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.37
"
2017-09-20,2017-09-20,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.17
"
2017-09-21,2017-09-21,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.18
"
2017-09-22,2017-09-22,," 0.65
"," 0.17
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.18
"
2017-09-23,2017-09-23,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.16
"
2017-09-24,2017-09-24,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.16
"
2017-09-25,2017-09-25,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.17
"
2017-09-26,2017-09-26,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.15
"
2017-09-27,2017-09-27,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.15
"
2017-09-28,2017-09-28,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.16
"
2017-09-29,2017-09-29,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.16
"
2017-09-30,2017-09-30,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.16
"
2017-10-01,2017-10-01,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.15
"
2017-10-02,2017-10-02,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.15
"
2017-10-03,2017-10-03,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.15
"
2017-10-04,2017-10-04,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-05,2017-10-05,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-06,2017-10-06,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-07,2017-10-07,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-08,2017-10-08,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-09,2017-10-09,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-10,2017-10-10,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-11,2017-10-11,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-12,2017-10-12,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-13,2017-10-13,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-14,2017-10-14,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-15,2017-10-15,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-10-16,2017-10-16,,,,," 0.02
",,,,," 0.14
"
2017-10-17,2017-10-17,,,,," 0.02
",,,,,
2017-10-18,2017-10-18,,,,," 0.02
",,,,,
2017-10-19,2017-10-19,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-20,2017-10-20,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-21,2017-10-21,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-22,2017-10-22,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-23,2017-10-23,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-24,2017-10-24,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-25,2017-10-25,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-26,2017-10-26,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-27,2017-10-27,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-28,2017-10-28,," 0.64
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-29,2017-10-29,," 0.64
"," 0.16
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-10-30,2017-10-30,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-10-31,2017-10-31,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-01,2017-11-01,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-02,2017-11-02,," 0.65
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-03,2017-11-03,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-04,2017-11-04,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-05,2017-11-05,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-06,2017-11-06,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-07,2017-11-07,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-08,2017-11-08,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-09,2017-11-09,," 0.65
"," 0.15
"," 0.21
",,," 0.17
",," 0.15
"," 0.13
"
2017-11-10,2017-11-10,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-11,2017-11-11,," 0.65
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-12,2017-11-12,," 0.64
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-13,2017-11-13,," 0.64
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-14,2017-11-14,," 0.64
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-15,2017-11-15,," 0.64
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-16,2017-11-16,," 0.64
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-17,2017-11-17,," 0.65
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-18,2017-11-18,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-19,2017-11-19,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-20,2017-11-20,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.14
"," 0.13
"
2017-11-21,2017-11-21,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-22,2017-11-22,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-11-23,2017-11-23,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-24,2017-11-24,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-25,2017-11-25,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-26,2017-11-26,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-27,2017-11-27,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-28,2017-11-28,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-29,2017-11-29,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-11-30,2017-11-30,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-01,2017-12-01,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-02,2017-12-02,," 0.61
"," 0.16
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-03,2017-12-03,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-04,2017-12-04,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-05,2017-12-05,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-06,2017-12-06,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.17
",," 0.15
"," 0.13
"
2017-12-07,2017-12-07,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-12-08,2017-12-08,," 0.62
"," 0.15
"," 0.21
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-12-09,2017-12-09,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-12-10,2017-12-10,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-12-11,2017-12-11,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.14
"," 0.13
"
2017-12-12,2017-12-12,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.13
"
2017-12-13,2017-12-13,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-14,2017-12-14,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2017-12-15,2017-12-15,," 0.63
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.14
"," 0.14
"
2017-12-16,2017-12-16,," 0.63
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.14
"," 0.14
"
2017-12-17,2017-12-17,," 0.62
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-18,2017-12-18,," 0.62
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-19,2017-12-19,," 0.62
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-20,2017-12-20,," 0.61
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-21,2017-12-21,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-22,2017-12-22,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-23,2017-12-23,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-24,2017-12-24,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-25,2017-12-25,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-26,2017-12-26,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-27,2017-12-27,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-28,2017-12-28,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-29,2017-12-29,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-30,2017-12-30,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2017-12-31,2017-12-31,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-01,2018-01-01,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-02,2018-01-02,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-03,2018-01-03,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-04,2018-01-04,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-05,2018-01-05,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-06,2018-01-06,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-07,2018-01-07,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-08,2018-01-08,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-09,2018-01-09,," 0.62
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-10,2018-01-10,," 0.62
"," 0.15
"," 0.22
"," 0.02
",," 0.16
",," 0.15
"," 0.14
"
2018-01-11,2018-01-11,," 0.61
"," 0.16
"," 0.22
"," 0.02
",," 0.17
",," 0.15
"," 0.14
"
2018-01-12,2018-01-12,," 0.61
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-13,2018-01-13,," 0.61
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-14,2018-01-14,," 0.61
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-15,2018-01-15,," 0.65
"," 0.16
"," 0.23
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-16,2018-01-16,," 0.62
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-17,2018-01-17,," 0.61
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-18,2018-01-18,," 0.62
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-19,2018-01-19,," 0.64
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
2018-01-20,2018-01-20,," 0.63
"," 0.16
"," 0.22
"," 0.01
",," 0.17
",," 0.15
"," 0.14
"
